alcohol,acidity,sweetness,tannin,body,quality_rating
13.2,6.5,2.1,3.2,4.1,Good
12.8,5.8,1.8,2.9,3.8,Average
14.1,7.2,2.5,3.8,4.5,Excellent
11.9,5.2,1.5,2.3,3.2,Average
13.8,6.8,2.3,3.5,4.3,Good
12.3,5.5,1.7,2.6,3.5,Average
14.5,7.5,2.8,4.1,4.8,Excellent
11.5,4.9,1.3,2.1,2.9,Poor
13.5,6.7,2.2,3.4,4.2,Good
12.1,5.3,1.6,2.5,3.3,Average
14.3,7.4,2.7,3.9,4.7,Excellent
11.2,4.6,1.2,1.9,2.7,Poor
13.1,6.4,2.0,3.1,4.0,Good
12.6,5.7,1.8,2.8,3.7,Average
14.7,7.8,3.0,4.3,5.0,Excellent
11.8,5.1,1.4,2.2,3.1,Average
13.4,6.6,2.1,3.3,4.1,Good
12.4,5.6,1.7,2.7,3.6,Average
14.2,7.3,2.6,3.8,4.6,Excellent
11.4,4.8,1.3,2.0,2.8,Poor
13.6,6.9,2.3,3.5,4.3,Good
12.2,5.4,1.6,2.5,3.4,Average
14.6,7.6,2.9,4.2,4.9,Excellent
11.6,5.0,1.4,2.2,3.0,Poor
13.3,6.5,2.1,3.2,4.1,Good
12.7,5.8,1.8,2.8,3.8,Average
14.4,7.5,2.7,4.0,4.7,Excellent
11.3,4.7,1.2,1.9,2.8,Poor
13.7,6.8,2.2,3.4,4.2,Good
12.5,5.6,1.7,2.7,3.6,Average
14.8,7.9,3.1,4.4,5.1,Excellent
11.7,5.1,1.4,2.1,3.0,Average
13.0,6.3,2.0,3.0,3.9,Good
12.9,5.9,1.9,2.9,3.9,Average
14.0,7.1,2.5,3.7,4.5,Excellent
11.1,4.5,1.1,1.8,2.6,Poor
13.9,7.0,2.4,3.6,4.4,Good
12.0,5.2,1.5,2.4,3.2,Average
14.9,8.0,3.2,4.5,5.2,Excellent
11.0,4.4,1.0,1.7,2.5,Poor
13.2,6.4,2.0,3.1,4.0,Good
12.8,5.9,1.9,2.9,3.8,Average
14.3,7.4,2.6,3.9,4.6,Excellent
11.9,5.3,1.5,2.3,3.1,Average
13.5,6.7,2.2,3.3,4.2,Good
12.4,5.5,1.7,2.6,3.5,Average
14.1,7.2,2.5,3.8,4.5,Excellent
11.6,4.9,1.3,2.0,2.9,Poor
13.4,6.6,2.1,3.2,4.1,Good
12.6,5.7,1.8,2.8,3.7,Average
